neg_id,src_idx,src_lat,src_lon,neg_lat,neg_lon,offset_m,img_path,img_download_ok,img_status_code,img_content_type,places_http_status,places_status,places_count_topk,poi_topk,map_strong_hits,map_soft_hits,stage1_decision,run_tag
13,246,33.71661460000001,-117.969072,33.74030058194172,-117.97058464667276,2632.850813499953,negative_samples_random_offset_1500_5000m_1000/neg_13.jpg,True,200,image/png,200,OK,10,"[""Westminster | locality,political"", ""Tensha Hoa Nguyen: Allstate Insurance | insurance_agency,point_of_interest,establishment"", ""Minh Phung | bakery,school,store,point_of_interest,food,establishment"", ""Smart Choice Realty | real_estate_agency,point_of_interest,establishment"", ""AUTO INK | car_repair,point_of_interest,establishment"", ""K & L Glass & Mirror | point_of_interest,establishment"", ""ATM | atm,finance,point_of_interest,establishment"", ""Lyby's General Auto Repair | car_repair,point_of_interest,establishment"", ""Calespana Apartments | point_of_interest,establishment"", ""Orange County Community Service Center | local_government_office,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
14,334,42.9153617,-78.68933059999999,42.95749135100381,-78.68328437635401,4702.150245458744,negative_samples_random_offset_1500_5000m_1000/neg_14.jpg,True,200,image/png,200,OK,10,"[""Harris Hill | locality,political"", ""Angry Buffalo @ The Rose Garden | restaurant,bar,point_of_interest,food,establishment"", ""William C Hoock - Financial Advisor, Ameriprise Financial Services, LLC | finance,point_of_interest,establishment"", ""Four Pillar Wealth Advisory Group - Ameriprise Financial Services, LLC | finance,point_of_interest,establishment"", ""Brandon M Harrington - Financial Advisor, Ameriprise Financial Services, LLC | finance,point_of_interest,establishment"", ""Hearing & Speech of WNY | health,point_of_interest,establishment"", ""angrybuffalovolleyball | point_of_interest,establishment"", ""John Baldi - Financial Advisor, Ameriprise Financial Services, LLC | finance,point_of_interest,establishment"", ""Andrew H Radziwon - Financial Advisor, Ameriprise Financial Services, LLC | finance,point_of_interest,establishment"", ""Baczkowski Sheri L MD | doctor,health,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
16,191,36.4096621,-86.3728929,36.436646309913854,-86.35165138130353,3545.7299074345165,negative_samples_random_offset_1500_5000m_1000/neg_16.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
17,295,40.3614109,-111.778378,40.37448858160568,-111.74981115332017,2818.694833413296,negative_samples_random_offset_1500_5000m_1000/neg_17.jpg,True,200,image/png,200,OK,10,"[""Pleasant Grove | locality,political"", ""The Church of Jesus Christ of Latter-day Saints | church,place_of_worship,point_of_interest,establishment"", ""Snuck Farm | point_of_interest,establishment"", ""Cozy 2-bedroom apartment in gorgeous Pleasant Grove | lodging,point_of_interest,establishment"", ""Truly Lindsey Photography | point_of_interest,establishment"", ""Rizet Dental | dentist,health,point_of_interest,establishment"", ""Dr. linas M. Leighton, DDS | doctor,health,point_of_interest,establishment"", ""Noyes Studios | point_of_interest,establishment"", ""Roskelley Driving School | point_of_interest,establishment"", ""R.J. Nock Son | painter,general_contractor,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
18,175,33.6692974,-83.98140599999999,33.70505879190608,-84.00818269356965,4677.166000059075,negative_samples_random_offset_1500_5000m_1000/neg_18.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
19,148,36.0604781,-79.42560069999999,36.039686902526505,-79.45470581842396,3485.2277288270134,negative_samples_random_offset_1500_5000m_1000/neg_19.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
20,283,27.2604239,-80.4191494,27.29927858464609,-80.42042971833332,4314.719823341689,negative_samples_random_offset_1500_5000m_1000/neg_20.jpg,True,200,image/png,200,OK,4,"[""Port St. Lucie | locality,political"", ""PGA Village POA | point_of_interest,establishment"", ""Rooftop Roofing, Inc | roofing_contractor,point_of_interest,establishment"", ""Island Club | point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
21,69,36.7060283,-119.7483455,36.671084753726845,-119.78260390023604,4933.446715622269,negative_samples_random_offset_1500_5000m_1000/neg_21.jpg,True,200,image/png,200,OK,3,"[""Edison | neighborhood,political"", ""K & H Family Farms, Llc | point_of_interest,establishment"", ""Tacos de Canasta | restaurant,food,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
22,8,40.63396789999999,-74.1212309,40.61004745335471,-74.12585582176966,2683.5988671141326,negative_samples_random_offset_1500_5000m_1000/neg_22.jpg,True,200,image/png,200,OK,10,"[""New York | locality,political"", ""Trade Docs International | point_of_interest,establishment"", ""Clermont Home Improvement & Repair, LLC | plumber,general_contractor,point_of_interest,establishment"", ""Verde & Son Brick Corp | general_contractor,point_of_interest,establishment"", ""Daniel T. Creighton, OD | health,point_of_interest,establishment"", ""Gabor & Marotta LLC | lawyer,point_of_interest,establishment"", ""Fairview Cemetery | cemetery,point_of_interest,establishment"", ""Anny Nail Shop | beauty_salon,point_of_interest,establishment"", ""NY State Builders Inc | general_contractor,point_of_interest,establishment"", ""Rise Constructions Inc: Roofing Services NYC, Waterproofing, Masonry & Brickwork Expert | general_contractor,roofing_contractor,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
23,107,46.0237332,-73.4254425,45.983336887541455,-73.43557692553779,4551.515213760894,negative_samples_random_offset_1500_5000m_1000/neg_23.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
24,207,37.0281414,-86.2406364,37.0126211100958,-86.20363066594366,3704.2700526674753,negative_samples_random_offset_1500_5000m_1000/neg_24.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
25,2,32.8584045,-96.6698261,32.85786441825463,-96.72139487763192,4808.726526747707,negative_samples_random_offset_1500_5000m_1000/neg_25.jpg,True,200,image/png,200,OK,5,"[""Dallas | locality,political"", ""Northwest @ Lawther - E - FS | transit_station,point_of_interest,establishment"", ""Northwest @ Goforth - W - NS | transit_station,point_of_interest,establishment"", ""For the Love of the Lake | point_of_interest,establishment"", ""For the Love of the Lake | point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
26,270,48.1283913,-122.1778173,48.10080872225929,-122.14809260139953,3771.4369543564394,negative_samples_random_offset_1500_5000m_1000/neg_26.jpg,True,200,image/png,200,OK,2,"[""Marysville | locality,political"", ""North Marysville | neighborhood,political""]",[],[],keep_after_map,dryrun_100
28,304,33.4325285,-88.55654779999999,33.459808552697886,-88.54814096122158,3126.621482942988,negative_samples_random_offset_1500_5000m_1000/neg_28.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
29,101,45.398451,-74.045773,45.43390535472685,-74.02408344299042,4283.159440130939,negative_samples_random_offset_1500_5000m_1000/neg_29.jpg,True,200,image/png,200,OK,1,"[""L'Île-Cadieux | locality,political""]",[],[],keep_after_map,dryrun_100
30,231,37.3786557,-79.1621045,37.38625653789015,-79.1296338272003,2985.7615525412257,negative_samples_random_offset_1500_5000m_1000/neg_30.jpg,True,200,image/png,200,OK,8,"[""Lynchburg | locality,political"", ""Greater Brookville Church | church,place_of_worship,point_of_interest,establishment"", ""Florida Ave. & Winston Ridge Rd. (Inbound) | transit_station,point_of_interest,establishment"", ""Florida Ave. & Winston Ridge Rd. (Outbound) | transit_station,point_of_interest,establishment"", ""Jackson Heights Center | local_government_office,point_of_interest,establishment"", ""Florida Ave. (Outbound, First Stop After Food Lion Stop) | transit_station,point_of_interest,establishment"", ""Florida Ave. ( Inbound, First Stop Past Bridge Over Tracks) | transit_station,point_of_interest,establishment"", ""Fairview Heights | neighborhood,political""]",[],[],keep_after_map,dryrun_100
31,89,34.2385744,-118.5770675,34.25134892712407,-118.5656132973814,1765.0553770579795,negative_samples_random_offset_1500_5000m_1000/neg_31.jpg,True,200,image/png,200,OK,10,"[""Los Angeles | locality,political"", ""Robin's Nest Kid-Care | point_of_interest,establishment"", ""Our Community School | school,point_of_interest,establishment"", ""Devonshire Continuation School | school,point_of_interest,establishment"", ""Hatkoff Investments | real_estate_agency,point_of_interest,establishment"", ""A-1 Ascended Senior Care 2 Inc. | health,point_of_interest,establishment"", ""Little Blessings Home Daycare | point_of_interest,establishment"", ""135 - Luxurious Estate Pool & Pool Table | lodging,point_of_interest,establishment"", ""Twin Palms | health,point_of_interest,establishment"", ""Repair Shop Life | point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
32,278,38.39276359999999,-78.96630739999999,38.41773690625614,-78.9775348034158,2939.092945485094,negative_samples_random_offset_1500_5000m_1000/neg_32.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
33,81,43.12105529999999,-88.19050299999999,43.10538350856199,-88.16799100063025,2520.476760532119,negative_samples_random_offset_1500_5000m_1000/neg_33.jpg,True,200,image/png,200,OK,5,"[""Menomonee Falls | locality,political"", ""Catalyst Coaching Equine & Rider | point_of_interest,establishment"", ""ElConn Farm | point_of_interest,establishment"", ""Aero Park | park,point_of_interest,establishment"", ""Brookfield | locality,political""]",[],[],keep_after_map,dryrun_100
34,209,42.670995,-74.4753668,42.70049721474869,-74.4867736654048,3404.5026825608475,negative_samples_random_offset_1500_5000m_1000/neg_34.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
36,96,38.8228664,-91.0687905,38.81236853703996,-91.04580329655948,2304.257375781161,negative_samples_random_offset_1500_5000m_1000/neg_36.jpg,True,200,image/png,200,OK,1,"[""Wright City | locality,political""]",[],[],keep_after_map,dryrun_100
37,17,42.0518382,-71.3952826,42.04615858286032,-71.4551058780496,4970.884841986982,negative_samples_random_offset_1500_5000m_1000/neg_37.jpg,True,200,image/png,200,OK,2,"[""Franklin | locality,political"", ""Bellingham | locality,political""]",[],[],keep_after_map,dryrun_100
38,34,31.875473,-110.7812044,31.894609484216183,-110.75047952049412,3591.62012372203,negative_samples_random_offset_1500_5000m_1000/neg_38.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
39,295,40.3614109,-111.778378,40.36796826091023,-111.76197497256906,1566.698292931296,negative_samples_random_offset_1500_5000m_1000/neg_39.jpg,True,200,image/png,200,OK,10,"[""Pleasant Grove | locality,political"", ""Spirent Federal Systems Inc | point_of_interest,establishment"", ""Guitar for All Utah | school,point_of_interest,establishment"", ""Chefs Kitchen & Hardy's | furniture_store,home_goods_store,store,point_of_interest,establishment"", ""Shaw Computer Services | point_of_interest,establishment"", ""Crust Club - Pleasant Grove | meal_takeaway,meal_delivery,bakery,store,restaurant,food,point_of_interest,establishment"", ""American National Insurance Company | insurance_agency,finance,point_of_interest,establishment"", ""The Van Law Firm | lawyer,point_of_interest,establishment"", ""Copperhead Performance | car_repair,store,point_of_interest,establishment"", ""Kirk Law | point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
41,78,41.6760207,-88.0699849,41.67884613548024,-88.02054848370567,4110.642758171292,negative_samples_random_offset_1500_5000m_1000/neg_41.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
42,316,34.10100750000001,-117.5343267,34.09318757199495,-117.50548279729485,2789.628175435049,negative_samples_random_offset_1500_5000m_1000/neg_42.jpg,True,200,image/png,200,OK,2,"[""Joshua Transport Inc | moving_company,point_of_interest,establishment"", ""48forty Solutions | point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
43,117,46.5291258,-93.7292323,46.50945583441272,-93.67422584211224,4734.18589359108,negative_samples_random_offset_1500_5000m_1000/neg_43.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
44,8,40.63396789999999,-74.1212309,40.64461473429096,-74.09824207859106,2268.62334100439,negative_samples_random_offset_1500_5000m_1000/neg_44.jpg,True,200,image/png,200,OK,10,"[""New York | locality,political"", ""Unitarian Church of Staten Island | place_of_worship,point_of_interest,establishment"", ""Sunrise Office Services Inc. | furniture_store,home_goods_store,store,point_of_interest,establishment"", ""Congregation OM ShalOM | synagogue,place_of_worship,point_of_interest,establishment"", ""InflatablesNY - A Total Jump LLC | point_of_interest,establishment"", ""Nicholas Industries and Construction Services | point_of_interest,establishment"", ""Boss Metal Works | point_of_interest,establishment"", ""Kelley McCarthy Photography | point_of_interest,establishment"", ""Elle Woodworking | general_contractor,point_of_interest,establishment"", ""Dunkin' | bakery,meal_takeaway,cafe,restaurant,food,store,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
45,146,34.7668834,-87.8918613,34.78160147026828,-87.9255592763259,3480.0306857386536,negative_samples_random_offset_1500_5000m_1000/neg_45.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
46,338,19.4130337,-99.1633709,19.42665627254401,-99.15211713838634,1916.8979056786425,negative_samples_random_offset_1500_5000m_1000/neg_46.jpg,True,200,image/png,200,OK,10,"[""Mexico City | locality,political"", ""Fritz | bar,restaurant,food,point_of_interest,establishment"", ""Centro Cultural Teatro 1 y 2 | point_of_interest,establishment"", ""Refacciones Bucareli | car_repair,store,point_of_interest,establishment"", ""Asosa Personal | point_of_interest,establishment"", ""KFC | meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment"", ""Homex | real_estate_agency,point_of_interest,establishment"", ""AGUILAR MORFÍN S.C. | point_of_interest,establishment"", ""Conasami | point_of_interest,establishment"", ""Gerardo Cuellar Abogados | lawyer,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
48,216,30.0022545,-90.0160976,30.02449948373061,-90.00003746913322,2912.087410026641,negative_samples_random_offset_1500_5000m_1000/neg_48.jpg,True,200,image/png,200,OK,10,"[""New Orleans | locality,political"", ""Bug Smashers Exterminators | point_of_interest,establishment"", ""Crescent City Self-Defense Studio | health,point_of_interest,establishment"", ""Lake Forest at Mayo | transit_station,point_of_interest,establishment"", ""Lake Forest at Mayo | transit_station,point_of_interest,establishment"", ""iRevive biz | point_of_interest,establishment"", ""Lake Forest at Mayo | transit_station,point_of_interest,establishment"", ""JumpStart Child Development Center | point_of_interest,establishment"", ""Immaculate New Orleans Home 7 Mi to Frenchmen St! | lodging,point_of_interest,establishment"", ""Empress Tax Solutions | accounting,finance,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
49,184,41.4108759,-84.1082382,41.40129777979282,-84.12420831099324,1702.3121178330848,negative_samples_random_offset_1500_5000m_1000/neg_49.jpg,True,200,image/png,200,OK,10,"[""Napoleon | locality,political"", ""Golden LivingCenters - Northcrest | health,point_of_interest,establishment"", ""Loyal Order of Moose | point_of_interest,establishment"", ""Orchards of Northcrest Living & Rehab Center | health,point_of_interest,establishment"", ""Northcrest Rehab and Nursing Center | health,point_of_interest,establishment"", ""UFCW Local 626 | point_of_interest,establishment"", ""Moose Lodge | point_of_interest,establishment"", ""Beauty by Britt | hair_care,point_of_interest,establishment"", ""Michaels Hair Designers | beauty_salon,point_of_interest,establishment"", ""Northcrest Apartments | point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
50,302,34.4505665,-118.6435186,34.4835522069731,-118.65982946336877,3954.099960053636,negative_samples_random_offset_1500_5000m_1000/neg_50.jpg,True,200,image/png,200,OK,1,"[""Hasley Canyon | locality,political""]",[],[],keep_after_map,dryrun_100
51,220,42.264707,-83.40351,42.23294925754808,-83.37753157448608,4120.721857022893,negative_samples_random_offset_1500_5000m_1000/neg_51.jpg,True,200,image/png,200,OK,2,"[""Romulus | locality,political"", ""Jp Landscaping & More | point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
52,207,37.0281414,-86.2406364,37.01427128731996,-86.24568200268264,1603.1937935566343,negative_samples_random_offset_1500_5000m_1000/neg_52.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
53,73,46.379695,-72.6643529,46.35367004325416,-72.66905217005487,2911.097228292216,negative_samples_random_offset_1500_5000m_1000/neg_53.jpg,True,200,image/png,200,OK,2,"[""Trois-Rivières | locality,political"", ""Pointe-du-Lac | neighborhood,political""]",[],[],keep_after_map,dryrun_100
54,291,42.5351036,-113.8496899,42.52049842614096,-113.83642784806936,1950.5998270689024,negative_samples_random_offset_1500_5000m_1000/neg_54.jpg,True,200,image/png,200,OK,2,"[""Burley | locality,political"", ""The Church of Jesus Christ of Latter-day Saints | church,place_of_worship,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
55,127,42.3769307,-83.2964993,42.402690344798685,-83.32347098410453,3614.84104150378,negative_samples_random_offset_1500_5000m_1000/neg_55.jpg,True,200,image/png,200,OK,7,"[""Livonia | locality,political"", ""Below the Grade Scuba | school,point_of_interest,establishment"", ""webookbest | point_of_interest,establishment"", ""Great Lakes Construction and remodeling llc | general_contractor,home_goods_store,store,point_of_interest,establishment"", ""Detroit tintz & wrapz llc | car_repair,point_of_interest,establishment"", ""CoolEdge HVAC | general_contractor,point_of_interest,establishment"", ""New Design Building Co. Inc. | point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
58,52,40.2291794,-76.95468079999999,40.2541990966398,-76.93112031496382,3420.423268698514,negative_samples_random_offset_1500_5000m_1000/neg_58.jpg,True,200,image/png,200,OK,5,"[""Camp Hill | locality,political"", ""kayak Launch | point_of_interest,establishment"", ""Audience Align | point_of_interest,establishment"", ""Camp Hill Creek Park | point_of_interest,establishment"", ""Essential Joy Wellness | health,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
59,45,43.5561199,-89.4838588,43.57546634086958,-89.51430658547427,3257.3748346772536,negative_samples_random_offset_1500_5000m_1000/neg_59.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
60,349,43.7596634,-79.7003969,43.79148239817731,-79.66922420723242,4326.646412157143,negative_samples_random_offset_1500_5000m_1000/neg_60.jpg,True,200,image/png,200,OK,10,"[""Brampton | locality,political"", ""Priority Wellness | health,point_of_interest,establishment"", ""Real Estate All service | real_estate_agency,point_of_interest,establishment"", ""International Realty Firm | real_estate_agency,point_of_interest,establishment"", ""Smart Path to Healing | point_of_interest,establishment"", ""Family Day Beryl Ford Extended Day & School Age Program | point_of_interest,establishment"", ""Om Infowave | point_of_interest,establishment"", ""66 A Main st Brampton | church,place_of_worship,point_of_interest,establishment"", ""SACREDALE INTERNATIONAL INC. | point_of_interest,establishment"", ""Beryl Ford Public School | school,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
61,335,35.4241629,-97.6143803,35.42601784426872,-97.58118101099586,3009.994612298191,negative_samples_random_offset_1500_5000m_1000/neg_61.jpg,True,200,image/png,200,OK,10,"[""Oklahoma City | locality,political"", ""Dollar General | drugstore,convenience_store,grocery_or_supermarket,health,food,store,point_of_interest,establishment"", ""MTZ Construction | general_contractor,point_of_interest,establishment"", ""R7 Surplus Materials | home_goods_store,store,point_of_interest,establishment"", ""RAINIER ARMS | store,point_of_interest,establishment"", ""Del Cid Dental Laboratory LLC | health,point_of_interest,establishment"", ""Macarthur crossing | store,point_of_interest,establishment"", ""Kimie's Store | convenience_store,food,store,point_of_interest,establishment"", ""Dollar general on portland | transit_station,point_of_interest,establishment"", ""Portland House Apartments | point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
62,311,44.2037656,-88.4817772,44.18725378557664,-88.53592730151104,4682.438012725797,negative_samples_random_offset_1500_5000m_1000/neg_62.jpg,True,200,image/png,200,OK,2,"[""Westridge Golf Course Restaurant and Catering | bar,point_of_interest,establishment"", ""Short Drive to EAA - Spacious 5-bedroom house in brilliant Neenah with WiFi, AC | lodging,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
63,120,39.7892497,-105.0755606,39.78645206528646,-105.11948857795402,3759.587244885872,negative_samples_random_offset_1500_5000m_1000/neg_63.jpg,True,200,image/png,200,OK,10,"[""Wheat Ridge | locality,political"", ""Foundation Chevrolet | car_dealer,car_repair,store,point_of_interest,establishment"", ""Skyline Enterprises, Inc. | store,point_of_interest,establishment"", ""Jefferson County Library Foundation | point_of_interest,establishment"", ""Foundation Auto Colorado | car_dealer,finance,store,point_of_interest,establishment"", ""International Paper Co | store,point_of_interest,establishment"", ""Fuel Injector Specialists | car_repair,point_of_interest,establishment"", ""Undercover Systems-Colorado | general_contractor,point_of_interest,establishment"", ""Advanced Electric Solutions Corp | electrician,spa,general_contractor,home_goods_store,store,point_of_interest,establishment"", ""Art Builders Guild | point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
64,17,42.0518382,-71.3952826,42.073254808157735,-71.38661274209812,2482.321365444401,negative_samples_random_offset_1500_5000m_1000/neg_64.jpg,True,200,image/png,200,OK,5,"[""Franklin | locality,political"", ""Scaramuzzo Building & Remodeling LLC | point_of_interest,establishment"", ""Crossway Church | church,place_of_worship,point_of_interest,establishment"", ""Lisa Scaramuzzo | point_of_interest,establishment"", ""Tuff Tee's | point_of_interest,store,establishment""]",[],[],keep_after_map,dryrun_100
65,165,33.9990915,-117.5493301,33.96396446499674,-117.55103574567202,3902.258877186158,negative_samples_random_offset_1500_5000m_1000/neg_65.jpg,True,200,image/png,200,OK,5,"[""Jurupa Valley | locality,political"", ""KA Advantage | point_of_interest,establishment"", ""Private Suite with Own Kitchen Own Entrance | lodging,point_of_interest,establishment"", ""68th + Moonriver | transit_station,point_of_interest,establishment"", ""Eastvale | locality,political""]",[],[],keep_after_map,dryrun_100
66,281,34.4894897,-117.286929,34.45217835337372,-117.2767579135208,4244.812655836933,negative_samples_random_offset_1500_5000m_1000/neg_66.jpg,True,200,image/png,200,OK,10,"[""Hesperia | locality,political"", ""Royalty Limousine Services Inc | point_of_interest,establishment"", ""Caliber Collision | car_repair,point_of_interest,establishment"", ""Torres Glass Co | point_of_interest,establishment"", ""World of Colors | home_goods_store,store,point_of_interest,establishment"", ""Green Valley Landscape Development Inc. | general_contractor,point_of_interest,establishment"", ""Jr's Tires | car_repair,store,point_of_interest,establishment"", ""Go Green Recycling #2 | point_of_interest,establishment"", ""Tops N Barricades | point_of_interest,establishment"", ""Just Go Automotive | car_dealer,car_repair,store,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
